RuleName;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;InputData::Keyword;#OutPut::MesStatus;#OutPut::ClientStatus
rule 3-15;icloud.com.lfind.me;linked;located;location;mihk@list.ru;;ошибка;1;
rule 3-16;lost;stolen;reclaim;;;;ошибка;1;
rule 1-7;rush;ultra;киви;легальный;микс;пробы;ошибка;1;
rule 1-8;rush;ultra;легальный;микс;пробы;клады;ошибка;1;
rule 1-9;plastyr;polozhi;;;;;ошибка;1;
rule 3-17;cpoчнo;cвяжитecь;kapтe;oпepaции;пpиocтaнoвлeны;;ошибка;1;
rule 1-10;pharmbar.com;pharmbar.net;;;;;ошибка;1;
rule 3-18;pokupka;tel;yspeshna;;;;ошибка;1;
rule 3-19;raiffayzen;списание;справки:;сумму;успешно;;ошибка;1;
rule 3-20;raiffeisen;списание;справки:;сумму;успешно;;ошибка;1;
rule 2-5;party;sexy;;;;;на модерации;0;
rule 3-21;maximum;nomer;priz;spravki;vigrali;www.fm-maximum.ru;ошибка;1;
rule 3-22;sovkom;списание;сумму;успешно;;;ошибка;1;
rule 3-23;sberbank;spravki;srochno;;;;ошибка;1;
rule 3-24;klient;sberbank;;;;;ошибка;1;
rule 3-25;pensii;pensioner;planovaya;;;;ошибка;1;
rule 3-26;comepay;vash;yandex;;;;ошибка;1;
rule 3-27;login;personalniy;popolneniya;soobshaite;;;ошибка;1;
rule 3-29;banka;obrabotke;ojidaite;platej;prinyat;zachisleniya;ошибка;1;
rule 3-30;obrabotku;ojidaite;platej;popolneniya!;prinyat;vash;ошибка;1;
rule 3-31;bankovskaya;karta;zablokirovana;;;;ошибка;1;
rule 3-32;bankovskaya;spravki;;;;;ошибка;1;
rule 2-6;http://bit.ly;;;;;;на модерации;0;
rule 3-33;info;ozon.ru;pokupki;summy;vtb;oplata;ошибка;1;
rule 3-34;ozon.ru;pokupki;summy;tel;vtb;oplata;ошибка;1;
rule 3-35;perevod;proizvodili;summa;tranzaktsiyu;vypolnen;;ошибка;1;
rule 3-36;заблокирована;справки;;;;;ошибка;1;
rule 3-37;info;klient;obratites`;sberbank;srochno;;ошибка;1;
rule 4-46;разведётся;счастливы;;;;;на модерации;0;
rule 4-47;вибратор;женщина;;;;;на модерации;0;
rule 4-48;горами;развод;;;;;на модерации;0;
rule 4-49;рога;сами;;;;;на модерации;0;
rule 4-50;гулящая;жена;корыстная;мужчины;неблагодарная;;на модерации;0;
rule 4-51;бывших;всегда;любовников;мужья;;;на модерации;0;
rule 4-52;тачка;твоя;трэш;;;;на модерации;0;
rule 4-53;любовном;напополам;;;;;на модерации;0;
rule 3-38;банковская;ваша;заблокирована;карта;;;ошибка;1;
rule 3-39;заявка;отмены;платья;покупку;принята;стоимостью;ошибка;1;
rule 3-40;верните;деньги;консультацию;;;;ошибка;1;
rule 3-41;банковская;ваша;заблокирована;карта;тел;;ошибка;1;
rule 3-42;ваша;заблокирована;справки;карта;;;ошибка;1;
rule 4-54;гулящая;жаловаться;женщина;изменять;раздвигать;шалава;на модерации;0;
rule 4-55;акстись;бывшего;дуууурааааа;;;;на модерации;0;
rule 4-56;бросили;суёшь;чужие;;;;на модерации;0;
rule 3-43;банковские;временно;операции;приостановленны;справки;;ошибка;1;
rule 3-44;www.bit.ly;получили;просмотреть;;;;ошибка;1;
rule 3-45;bit.ly;mms;получили;просмотреть;;;ошибка;1;
rule 3-46;goo.gl;mms;получили;просмотреть;;;ошибка;1;
rule 3-47;выполнен;звоните;перевод;производили;сумма;транзакцию;ошибка;1;
rule 4-57;гулящая;женщина;нужная;падшая;;;на модерации;0;
rule 4-58;быть;второсортной;любовницей;;;;на модерации;0;
rule 4-59;дурой;конченной;мразью;наконец;отталкиваешь;слепой;на модерации;0;
rule 1-11;клады;курительные;легал;пробы;смеси-1п-500;;ошибка;1;
rule 1-12;1п-500;rash;клады;легал;микс;пробы;ошибка;1;
rule 1-13;1п-500;курительный;легальный;микс;пробы;;ошибка;1;
rule 1-14;1пак-500;rash;клады;легальный;микс;пробники;ошибка;1;
rule 4-60;алкогольного;воспитанием;занялась;опьянения;постоянно;состоянии;на модерации;0;
rule 4-61;страшные;сучка;трепать;умрешь;язык;;на модерации;0;
rule 4-62;любовница;нужду;справлять;точности;туалет;чужой;на модерации;0;
rule 1-15;ближайшее;еманжелинск;;;;;ошибка;1;
rule 1-16;блин;забывай;понял;шуми;;;ошибка;1;
rule 1-17;блин;было;вкрай;извини;магаз;;ошибка;1;
rule 1-18;блин;номер;пишу;спутал;;;ошибка;1;
rule 1-19;блин;недождался;;;;;ошибка;1;
rule 1-20;бажова;падик;ящиком;;;;ошибка;1;
rule 1-21;внизу;возле;крыльцо;магазин;ступени;уголком;ошибка;1;
rule 1-22;слева;бажова;лампой;падик;проводами;;ошибка;1;
rule 1-23;барыг;дохуя;спортсмены;крепят;;;ошибка;1;
rule 1-24;буландо;падик;слево;электокаробке;этаж;;ошибка;1;
rule 1-25;буландо;железная;левой;лестница;падик;рельсой;ошибка;1;
rule 1-26;буландо;вторая;домофон;падике;труба;утеплителем;ошибка;1;
rule 1-27;буландо;падик;этаж;;;;ошибка;1;
rule 1-28;буландо;квартира;подьезд;;;;ошибка;1;
rule 1-29;ебнулся;ладно;;;;;ошибка;1;
rule 1-30;внизу;заходиш;падик;;;;ошибка;1;
rule 1-31;плакат;посуда;справого;торца;;;ошибка;1;
rule 1-32;желтый;большая;вывеска;магазин;слон;справа;ошибка;1;
rule 1-33;взади;падик;ящиком;;;;ошибка;1;
rule 1-34;другого;забереш;предложить;;;;ошибка;1;
rule 1-35;комент;ложи;придумай;;;;ошибка;1;
rule 1-36;будет;вассаби;ложи;молниеносно;;;ошибка;1;
rule 1-37;киви;комент;ложи;мегафон;придумай;;ошибка;1;
rule 1-39;время;киви;комент;ложи;номер;;ошибка;1;
rule 1-40;pharmbar.org;фармыч;;;;;ошибка;1;
rule 4-63;прилёт;развод;существовании;;;;на модерации;0;
rule 4-64;алкоголика;занялась;мужьям;постоянно;пьяном;;на модерации;0;
rule 4-65;бывший;горевал;гулять;долго;любовника;;на модерации;0;
rule 1-41;количество;увеличу;;;;;ошибка;1;
rule 1-42;забрал;интерсвязи;сверху;;;;ошибка;1;
rule 1-43;весы;вешаеш;морковь;откуда;;;ошибка;1;
rule 1-44;город;какой;хоть;;;;ошибка;1;
rule 1-45;было;какой;качество;почем;;;ошибка;1;
rule 1-46;есть;куряк;много;распространяется;;;ошибка;1;
rule 1-47;mn25f;долгий;легальный;махра;микс;мягкий;ошибка;1;
rule 1-48;встал;отвечаю;пасибо;пропущенные;токо;шумят;ошибка;1;
rule 1-49;аптекарьщик;аспирина;лишканул;;;;ошибка;1;
rule 1-50;аквамарин;есть;ложи;;;;ошибка;1;
rule 1-51;есть;курильная;;;;;ошибка;1;
rule 1-52;адрес;быстро;есть;пребыстро;;;ошибка;1;
rule 1-53;готовый;есть;клад;;;;ошибка;1;
rule 4-66;позор;женщина;жизнь;репутацией;;;на модерации;0;
rule 1-54;адрес;бонусом;закладчик;отдам;положит;южнике;ошибка;1;
rule 1-55;забереш;напиши;;;;;ошибка;1;
rule 1-56;дальней;двери;зайди;напротив;ниша;;ошибка;1;
rule 1-57;верху;зайди;интерсвязи;посмотри;;;ошибка;1;
rule 1-58;верху;есть;зайди;интерсвязи;ниче;посмотри;ошибка;1;
rule 4-67;выносит;мозги;;;;;на модерации;0;
rule 1-59;городом;готовые;клады;проб;;;ошибка;1;
rule 1-60;записать;коменте;напиши;проблем;тебя;;ошибка;1;
rule 1-61;комент;придумай;свой;;;;ошибка;1;
rule 1-62;глупые;деятели;нужны;такие;чайки;;ошибка;1;
rule 1-63;были;переживай;тебе;успокойся;;;ошибка;1;
rule 1-64;аквамарин;легальный;;;;;ошибка;1;
rule 1-65;киви;ложи;могу;;;;ошибка;1;
rule 1-66;переживай;соориентирую;;;;;ошибка;1;
rule 1-67;стелс;;;;;;ошибка;1;
rule 1-68;бесплатно;грамм;почти;;;;ошибка;1;
rule 1-69;прет;продукт;производных;прошлом;химия;натур;ошибка;1;
rule 1-70;давай;комент;пиши;филя;;;ошибка;1;
rule 1-71;докидыва;тута;;;;;ошибка;1;
rule 1-72;докидывай;;;;;;ошибка;1;
rule 1-73;брызжет;другой;заслужила;злости;ревностным;;ошибка;1;
rule 3-48;super.televizor;;;;;;ошибка;1;
rule 4-68;бухать;завхоза;работы;уволят;;;на модерации;0;
rule 4-69;жаловаться;хватит;;;;;на модерации;0;
rule 3-49;алкоголика;воспитанием;жирной;задницей;крутить;;ошибка;1;
rule 4-70;замки;сменить;;;;;на модерации;0;
rule 4-71;бросил;бывшего;разводе;рассказываешь;родственники;;на модерации;0;
rule 4-72;звонить;звонков;поздновато;;;;на модерации;0;
rule 4-73;бывшим;когда;мужем;наконец;следить;стыдно;на модерации;0;
rule 4-74;бывший;мразота;овцой;опозориться;;;на модерации;0;
rule 4-75;бывший;догадываешься;интересно;любимым;;;на модерации;0;
rule 4-76;случайно;тебе;худеешь;;;;на модерации;0;
rule 4-77;любовник;мужчину;просторах;;;;на модерации;0;
rule 4-78;зарабатываешь;истощёного;лапши;наврное;;;на модерации;0;
rule 4-79;бывшего;знать;любимая;мужа;хочешь;;на модерации;0;
rule 3-50;прoсмотреть;http://bit.ly;абoнент;билaйн;;;ошибка;1;
rule 3-51;http://www.bit.ly;mms;прoсмотреть;абoнент;билaйн;отпрaвил;ошибка;1;
rule 4-80;бывшему;давай;мужу;нажаловалась;;;на модерации;0;
rule 3-52;авиабилет;москва;сочи;оплачен;;;ошибка;1;
rule 4-81;забудь;мужу;пожаловаться;позвонить;;;на модерации;0;
rule 4-82;забудь;сменить;фамилию;;;;на модерации;0;
rule 4-83;женщина;просто;шалава;;;;на модерации;0;
rule 4-84;женщина;шалава;;;;;на модерации;0;
rule 4-85;брошенная;женщина;мужем;шалава;;;на модерации;0;
rule 4-86;баба;гулящая;непорядочная;шалава;шалавистая;;на модерации;0;
rule 1-74;забрали;коробке;посмотрят;свое;счас;;ошибка;1;
rule 1-75;вооще;двигается;тема;;;;ошибка;1;
rule 1-76;берут;кладами;руки;спайс;;;ошибка;1;
rule 1-77;какие;полки;понимаю;твоей;фени;;ошибка;1;
rule 1-78;качество;курил;самое;;;;ошибка;1;
rule 1-79;каслинская;отливом;падик;паследний;слева;справа;ошибка;1;
rule 1-80;каслинская;отливомокна;падик;последний;слева;справа;ошибка;1;
rule 1-81;номер;киви;клад;мегафона;;;ошибка;1;
rule 1-82;вторые;дает;конечно;;;;ошибка;1;
rule 2-7;консультации;справки;;;;;на модерации;0;
rule 2-8;консультации;кредитах;справки;;;;на модерации;0;
rule 1-83;интерсвязи;электрокаробке;;;;;ошибка;1;
rule 1-84;взорвали;забрали;интерсвязи;кружили;чайки;элкоробке;ошибка;1;
rule 1-85;найдеш;отпишишся;;;;;ошибка;1;
rule 1-86;боюсь;курю;мудаки;передохнут;понимаю;;ошибка;1;
rule 1-87;надумаеш;шуми;шутник;;;;ошибка;1;
rule 4-87;бывший;душил;наверное;платья;рвал;;на модерации;0;
rule 1-88;надо;ниче;писать;потому;разлетится;ровно;ошибка;1;
rule 1-89;доме;ментовке;отливом;падик;последний;справа;ошибка;1;
rule 1-90;вдолг;;;;;;ошибка;1;
rule 1-91;вижу;деньги;паникуй;писать;просто;успеваю;ошибка;1;
rule 1-92;гляну;паникуй;успеваю;;;;ошибка;1;
rule 1-93;адрес;первый;потому;седня;третий;;ошибка;1;
rule 1-94;ложить;наберу;спеши;;;;ошибка;1;
rule 1-95;бесплатно;давал;думаю;неделю;хватит;;ошибка;1;
rule 1-96;весь;давай;друг;завтра;знаеш;правилам;ошибка;1;
rule 1-97;конечно;подумай;пойду;счас;часок;;ошибка;1;
rule 1-98;время;никакого;пополнения;;;;ошибка;1;
rule 1-99;ложи;пакет;положу;проб;;;ошибка;1;
rule 1-100;левые;железного;зеленого;крыльца;ступеньки;уголка;ошибка;1;
rule 1-101;видно;внизу;даже;салфетке;стороны;;ошибка;1;
rule 1-102;киви;лежит;мегафон;номер;;;ошибка;1;
rule 1-103;валлет;сумма;виза;оплат;услуг;киви;ошибка;1;
rule 3-53;инфо;карте;операции;приостановлены;;;ошибка;1;
rule 1-104;давай;киви;мегафоновский;номер;;;ошибка;1;
rule 4-88;гулящей;женщины;разведённой;;;;на модерации;0;
rule 1-105;готовый;киви;клад;конечно;мегафон;;ошибка;1;
rule 1-106;изза;меня;проблеммы;седня;тебя;филя;ошибка;1;
rule 1-107;дублируются;сверить;клады;сохраняй;стопроцентные;;ошибка;1;
rule 1-108;городом;клады;остались;;;;ошибка;1;
rule 1-109;березой;кичигино;остановка;руль;;;ошибка;1;
rule 1-110;легал;наличии;;;;;ошибка;1;
rule 1-111;меня;пока;тихо;южнике;;;ошибка;1;
rule 1-112;готовые;докидывай;остались;токо;южнике;;ошибка;1;
rule 1-113;качеству;надо;привыкли;чему;;;ошибка;1;
rule 3-54;банковская;ваша;карта;;;;ошибка;1;
rule 1-114;вериш;занимаюсь;пишу;токо;этим;;ошибка;1;
rule 1-115;вижу;стелс;;;;;ошибка;1;
rule 1-116;адрес;вижу;успел;;;;ошибка;1;
rule 1-117;адрес;возмеш;второй;отпиши;;;ошибка;1;
rule 1-118;балкон;вчера;салфетке;торца;уголком;;ошибка;1;
rule 1-119;верху;интер;коробке;связи;смотри;;ошибка;1;
rule 1-120;взял;говорят;ниче;одни;смотрели;;ошибка;1;
rule 1-121;ебется;крадет;пиздит;пласт;проверенный;чужое;ошибка;1;
rule 1-122;водоотлив;вызывай;долежит;зато;пудов;спада;ошибка;1;
rule 1-123;выполнил;нахуй;пизду;план;посылай;;ошибка;1;
rule 1-124;быстро;пребыстро;всегда;;;;ошибка;1;
rule 1-125;многих;отличии;тебя;точно;тупиш;хоть;ошибка;1;
rule 1-126;время;какое;чеку;;;;ошибка;1;
rule 1-127;вылезет;оплаты;терминала;указанное;услуги;чеке;ошибка;1;
rule 1-128;вэтом;лесенкой;падике;первом;чипсах;этаже;ошибка;1;
rule 1-129;бывшему;всеобщее;гулящей;делала;женщиной;стыдно;ошибка;1;
rule 1-130;кошелек;пиши;томер;;;;ошибка;1;
rule 1-131;киви;номер;пиши;;;;ошибка;1;
rule 1-132;надо;отлучиться;пиши;скорее;;;ошибка;1;
rule 1-133;аптеке;всегда;пиши;рекомендуй;четко;;ошибка;1;
rule 1-134;докинеш;писят;потом;;;;ошибка;1;
rule 1-135;емане;качества;поводу;;;;ошибка;1;
rule 1-136;колян;гасись;ведешь;даже;звонить;малолетка;ошибка;1;
rule 1-137;город;какой;подожди;;;;ошибка;1;
rule 1-138;отпишиш;попробуеш;;;;;ошибка;1;
rule 1-139;долгу;известен;останусь;помоги;рынок;;ошибка;1;
rule 1-140;ночи;полчаса;понимаеш;порой;пропадаю;;ошибка;1;
rule 1-141;есть;ложи;привет;;;;ошибка;1;
rule 1-142;ложи;привет;сделаю;хороший;;;ошибка;1;
rule 1-143;привет;проснулся;тружусь;;;;ошибка;1;
rule 1-144;привет;проснулся;работаю;;;;ошибка;1;
rule 1-145;грустиш;мешок;привет;;;;ошибка;1;
rule 1-146;докидывай;привет;спал;;;;ошибка;1;
rule 4-89;брачных;наши;освобождением;поздравления;примите;связи;на модерации;0;
rule 1-147;заебался;кидать;пришли;проб;;;ошибка;1;
rule 1-148;есть;клады;положить;проб;седня;смогу;ошибка;1;
rule 1-149;проба;стоит;;;;;ошибка;1;
rule 1-150;легал;нелегал;проба;стоит;;;ошибка;1;
rule 1-151;европаке;падик;пробник;толью;трубапод;черная;ошибка;1;
rule 1-152;даймонд;есть;легал;пробы;;;ошибка;1;
rule 1-153;клады;остались;пробы;роздал;седня;токо;ошибка;1;
rule 1-154;бабос;бери;кончились;пробы;сегодня;;ошибка;1;
rule 1-155;есть;клады;пробы;розданы;;;ошибка;1;
rule 1-156;есть;пробы;розданы;;;;ошибка;1;
rule 1-157;есть;пробы;розданы;соли;токо;;ошибка;1;
rule 1-158;пробу;сделал;;;;;ошибка;1;
rule 1-159;забрать;нужно;саил;;;;ошибка;1;
rule 4-90;деньги;меркантильная;стерва;;;;на модерации;0;
rule 4-91;брака;началом;поздравлю;разводу;расторжением;свободной;на модерации;0;
rule 4-92;лицом;мужчин;раздвигаешь;цепляться;чужих;;на модерации;0;
rule 1-160;даааавно;нужна;реклама;;;;ошибка;1;
rule 1-161;бонусом;доедеш;отдадут;сказать;тоже;челиковским;ошибка;1;
rule 1-162;вечером;могу;пробу;сделать;;;ошибка;1;
rule 1-163;адрес;дать;могу;счас;;;ошибка;1;
rule 1-164;могу;ложи;;;;;ошибка;1;
rule 3-55;клиент;обратитетесь;сбербанк;справки;срочно;;ошибка;1;
rule 3-56;клиент;обратитесь;сбербанк;справки;срочно;уважаемый;ошибка;1;
rule 3-57;выплата;доставленные;задержкой;извинения;неудобства;пенсии;ошибка;1;
rule 3-58;банковским;ограничения;операциям;справки;установлены;;ошибка;1;
rule 3-59;банковскую;блокировка;вашу;инфо;карту;установлена;ошибка;1;
rule 3-61;avitos.ml;бонусов;получи;приложение;рублей;установи;ошибка;1;
rule 3-62;avitoo.tk;бонусов;получи;приложение;рублей;установи;ошибка;1;
rule 3-63;goo.gl;бонусов;получи;приложение;рублей;установи;ошибка;1;
rule 3-65;vk.cc;бонусов;получи;приложение;рублей;установи;ошибка;1;
rule 4-93;влезать;мужа;семьи;уводить;хорошо;чужие;на модерации;0;
rule 4-94;влезать;женщины;падшие;семьи;уводить;;на модерации;0;
rule 4-95;наконец-то;сдохла;сдохни;скорее;;;на модерации;0;
rule 4-96;давай;подыхай;сдохла;скорей;чювырла;;на модерации;0;
rule 4-97;нелегко;позором;семьи;;;;на модерации;0;
rule 4-98;бывший;клиентка;маникюр;;;;на модерации;0;
rule 4-99;господь;достоинством;женским;обделил;стрёмная;;на модерации;0;
rule 4-100;греет;лачужке;постел;съёмной;чужим;шастая;на модерации;0;
rule 4-101;дождусь;момента;назвать;наконец;разведёнкой;;на модерации;0;
rule 4-102;интересуемся;лезешь;развод;;;;на модерации;0;
rule 4-103;бестактная;воспитал;воспитания;дефектами;скотина;;на модерации;0;
rule 4-104;быть;захлёбываешься;злости;ревности;;;на модерации;0;
rule 4-105;задеваешь;представляешь;рога;;;;на модерации;0;
rule 4-106;выглядишь;глупо;гулящая;деньги;наивная;дурочка;на модерации;0;
rule 4-107;бессовестная;гуляешь;изменяешь;конченная;мразь;;на модерации;0;
rule 4-108;гулящую;падшую;скинулся;;;;на модерации;0;
rule 4-109;терпеть;глупых;женщин;хочется;чужие;;на модерации;0;
rule 4-110;ласки;переживаешь;получает;порцию;секса;;на модерации;0;
rule 1-165;бесплат;курительная;оплата;пробы;смесь;;ошибка;1;
rule 4-111;врагом;другом;друзьями;женой;любовниками;любовницей;на модерации;0;
rule 1-166;пластырь;пожалуйста;положи;прочее;;;ошибка;1;
rule 4-112;меркантильная;никому;нужна;нужны;осталась;;на модерации;0;
rule 4-113;пьёт;развлечения;стыдно;сына;алкоголика;;на модерации;0;
rule 3-66;заявка;звоните;оплату;отмены;принята;;ошибка;1;
rule 4-114;ветвистые;головы;мешают;рога;роскошные;;на модерации;0;
rule 4-115;брошенкой;женщина;тёлка;;;;на модерации;0;
rule 4-116;брошенка;женщины;любовница;унизительный;;;на модерации;0;
rule 4-117;жёны;шалавы;избавляться;позор;пришлось;развод;на модерации;0;
rule 4-118;ветвистые;влюбленного;женатого;крылья;рога;;на модерации;0;
rule 4-119;барана;возомнившая;который;может;мужчину;овца;на модерации;0;
rule 3-67;карте;операции;приостановлены;срочно;свяжитесь;;ошибка;1;
rule 4-120;борщом;бывшего;вкусным;любовницу;местоположение;секс;на модерации;0;
rule 4-121;признак;стыда;тебе;шизофрении;;;на модерации;0;
rule 4-122;здохни;сдохни;;;;;на модерации;0;
rule 4-123;передок;слаба;;;;;на модерации;0;
rule 4-124;бестолковыми;бывшему;мужу;напрягать;шалава;;на модерации;0;
rule 4-125;ласки;любви;позорница;получает;порцию;сейчас;на модерации;0;
rule 4-126;любовник;мартышка;потеряла;просто;тупая;;на модерации;0;
rule 4-127;влезла;гуляешь;изменяешь;семью;совести;чужую;на модерации;0;
rule 4-128;висят;говорит;груди;подкачать;сиськи;спаниеля;на модерации;0;
rule 1-167;железка;зайдите;край;лифтом;отогните;падик;ошибка;1;
rule 4-129;девушку;злобная;мамашка;разводится;;;на модерации;0;
rule 3-68;звоните;совершали;списание;успешно;;;ошибка;1;
rule 3-69;visa;вашей;списание;справки;успешно;;ошибка;1;
rule 3-70;инфо;списание;успешно;;;;ошибка;1;
rule 3-71;выполнено;списание;справка;успешно;;;ошибка;1;
rule 3-72;visa/mc;вашей;списание;справки;успешно;;ошибка;1;
rule 3-73;списание;сумму;успешно;;;;ошибка;1;
rule 4-130;брошенкой;осталась;просто;смирись;;;на модерации;0;
rule 4-131;вертихвостка;давящая;жалость;ноги;раздвигающая;чужими;на модерации;0;
rule 4-132;возрасте;женщиной;задницей;крутишь;мужьями;позорно;на модерации;0;
rule 3-74;приянята;сумма;успешна;;;;ошибка;1;
rule 3-75;logo.ru;пользования;принята;саитом;сумма;успешна;ошибка;1;
rule 3-76;банк;вашей;карте;платежи;приостановлены;справки;ошибка;1;
rule 4-133;камера;лысая;пиздёнка;пиздец;скрытая;снимает;на модерации;0;
rule 3-77;выполнена;покупка;logo.com;сумму;успешна;info;ошибка;1;
rule 4-134;мамочке;привет;шалавочке;;;;на модерации;0;
rule 4-135;бывшей;вашей;вообще;жены;ухажёр;любовник;на модерации;0;
rule 4-136;привет;шизофреничка;;;;;на модерации;0;
rule 4-137;брошенка;трогать;хватит;;;;на модерации;0;
rule 4-138;лезешь;потасканная;привет;развод;;;на модерации;0;
rule 4-139;рошенной;всеми;мужем;;;;на модерации;0;
rule 4-140;обострение;потаскуха;стрёмная;тварина;;;на модерации;0;
rule 4-141;давалка;любовник;разводится;;;;на модерации;0;
rule 1-168;аптека;запишу;тебя;;;;ошибка;1;
rule 1-169;ложи;запишу;мешок;тебя;;;ошибка;1;
rule 1-170;гребут;обясни;петухи;себя;экскаваторы;;ошибка;1;
rule 1-171;второй;двойные;разобрали;;;;ошибка;1;
rule 1-172;затолкан;проц;сильно;;;;ошибка;1;
rule 1-173;берут;другие;есть;пацаны;посмотрят;;ошибка;1;
rule 1-174;посмотри;руль;старый;;;;ошибка;1;
rule 1-175;внизу;железная;лесница;лесницей;мусор;чердак;ошибка;1;
rule 1-176;вроде;ментовка;отливом;первого;подвале;этажа;ошибка;1;
rule 1-177;дали;логично;номер;случайно;тебе;;ошибка;1;
rule 1-178;дать;пробу;тебе;;;;ошибка;1;
rule 1-179;большой;бумажке;падик;слево;титова;ящик;ошибка;1;
rule 1-180;делал;забрали;интерсвязи;клада;коробке;пластовские;ошибка;1;
rule 1-181;готовые;тока;;;;;ошибка;1;
rule 1-182;клады;токо;;;;;ошибка;1;
rule 1-183;днях;кстати;такой;токо;увеличу;;ошибка;1;
rule 1-184;клад;рублевый;токо;;;;ошибка;1;
rule 1-185;левую;оптика;правую;руку;травой;тротуару;ошибка;1;
